1,Jean,Williamson,jwilliamson0@mail.com,62-(314)747-0832,2011-08-07 20:38:00,AD_PRES,24000,,,90
2,Eric,Perez,eperez1@mail.com,62-(687)690-3117,2013-01-21 17:20:00,AD_VP,17000,,1,90
3,Raymond,Murray,rmurray2@mail.com,64-(206)972-7552,2015-06-08 10:44:00,AD_VP,17000,,1,90
4,Chris,Ward,cward3@mail.com,86-(911)969-1131,2013-01-24 10:42:00,IT_PROG,9000,,3,60
5,Tammy,Cunningham,tcunningham4@mail.com,55-(975)979-0468,2011-09-07 2:11:00,IT_PROG,6000,,4,60
6,Christine,Wilson,cwilson5@mail.com,30-(660)190-0483,2015-08-31 23:21:00,IT_PROG,4800,,4,60
7,Thomas,James,tjames6@mail.com,62-(171)524-6875,2011-12-05 16:42:00,IT_PROG,4800,,4,60
8,Eugene,Gonzales,egonzales7@mail.com,880-(585)461-9350,2013-03-08 17:01:00,IT_PROG,4200,,4,60
9,Benjamin,Peters,bpeters8@mail.com,234-(257)997-5326,2011-01-15 8:38:00,FI_MGR,12008,,2,100
10,Melissa,Crawford,mcrawford9@mail.com,506-(106)122-2076,2012-12-26 5:29:00,FI_ACCOUNT,9000,,9,100
11,Thomas,Washington,twashingtona@mail.com,351-(475)837-2731,2013-06-27 10:13:00,FI_ACCOUNT,8200,,9,100
12,Julie,Duncan,jduncanb@mail.com,420-(777)237-9103,2011-07-07 18:18:00,FI_ACCOUNT,7700,,9,100
13,Nicole,Simpson,nsimpsonc@mail.com,66-(272)911-6212,2012-06-24 16:00:00,FI_ACCOUNT,7800,,9,100
14,Howard,Cole,hcoled@mail.com,232-(266)994-0235,2012-01-18 12:51:00,FI_ACCOUNT,6900,,9,100
15,Daniel,Burns,dburnse@mail.com,1-(682)823-7211,2015-01-13 6:13:00,PU_MAN,11000,,1,30
16,Frances,Grant,fgrantf@mail.com,261-(837)349-4533,2015-10-30 10:25:00,PU_CLERK,3100,,15,30
17,Kathy,Price,kpriceg@mail.com,86-(129)273-8141,2012-10-18 23:07:00,PU_CLERK,2900,,15,30
18,Barbara,Ruiz,bruizh@mail.com,66-(241)480-6893,2014-03-21 6:58:00,PU_CLERK,2800,,15,30
19,Lawrence,Stone,lstonei@mail.com,62-(567)681-8058,2015-06-28 15:44:00,PU_CLERK,2600,,15,30
20,Kathryn,Smith,ksmithj@mail.com,386-(839)570-3671,2011-09-12 9:38:00,PU_CLERK,2500,,15,30
21,Scott,Hunter,shunterk@mail.com,86-(374)586-4054,2011-02-13 1:24:00,ST_MAN,8000,,1,50
22,Ryan,Peters,rpetersl@mail.com,86-(314)671-9814,2012-07-11 1:17:00,ST_MAN,8200,,1,50
23,Craig,Hayes,chayesm@mail.com,998-(333)462-0973,2014-08-17 9:23:00,ST_MAN,7900,,1,50
24,Albert,Fuller,afullern@mail.com,351-(813)366-9685,2011-11-06 12:16:00,ST_MAN,6500,,1,50
25,Doris,Collins,dcollinso@mail.com,62-(473)882-0766,2013-05-29 3:24:00,ST_MAN,5800,,1,50
26,Christina,Mendoza,cmendozap@mail.com,227-(541)162-3562,2012-08-10 11:17:00,ST_CLERK,3200,,21,50
27,Gary,Warren,gwarrenq@mail.com,48-(104)745-4206,2011-11-23 23:11:00,ST_CLERK,2700,,21,50
28,Stephen,Taylor,staylorr@mail.com,46-(188)903-6455,2014-06-23 13:42:00,ST_CLERK,2400,,21,50
29,Christopher,Reid,creids@mail.com,595-(626)399-8583,2012-10-23 3:44:00,ST_CLERK,2200,,21,50
30,Alan,Roberts,arobertst@mail.com,54-(849)661-5891,2015-11-23 8:39:00,ST_CLERK,3300,,22,50
31,Gerald,Morales,gmoralesu@mail.com,256-(971)611-3105,2012-12-09 20:37:00,ST_CLERK,2800,,22,50
